"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_ALLOGRAFT_REJECTION",0.232984293193717,0.298697811786817,0.0982123351217438,0.246868987847757,1.11119409717942,200,"IRF7;B2M;ICOSLG;SRGN;DEGS1;FGR;EGFR;RPS19;RPS9;ELF4;FLNA;HLA-E;RPL39;TIMP1;STAB1;IKBKB;IL4R;IFNAR2;RPL3L;GALNT1;CXCL9;LY75;CCL2;TGFB2;TNF;NPM1;IFNGR1;CCR1;PRKCB;DARS1;SOCS1;MAP4K1;WAS;BCL10;FYB1;RPL9;TLR1;BCL3;THY1;CTSS;PTPRC;CD1D;CSK;HLA-A;IGSF6;PRF1;CD80;TAPBP;MAP3K7;TAP1;CD74;EIF5A;TLR6;SPI1;HCLS1;ITGB2;MTIF2;HIF1A;CSF1;KLRD1;LYN"
"HALLMARK_G2M_CHECKPOINT",0.329842931937173,0.402247477972162,0.0787113806986485,0.234228723313351,1.05429838314149,200,"TOP1;MT2A;TNPO2;KIF5B;MAP3K20;NOTCH2;PRIM2;NASP;SMC1A;XPO1;RPS6KA5;CCNT1;KPNB1;G3BP1;GSPT1;EWSR1;E2F2;SFPQ;MEIS2;ABL1;CKS2;RAD21;SLC38A1;PRMT5;UPF1;RBM14;CCND1;SLC7A5;MCM5;KPNA2;FOXN3;NUMA1;BARD1;CDKN2C;TMPO;HNRNPU;CUL4A;YTHDC1;HSPA8;BCL3;E2F3;LBR;H2AX;SRSF1;POLQ;KMT5A;PML;RBL1;SAP30;ATRX;CDKN1B;TROAP;STAG1;PURA;EFNA5;CHMP1A;EZH2;SQLE;FANCC;TLE3;HIF1A;E2F1;H2AZ2;ODC1;TRA2B;DTYMK;SMAD3;DMD;SMARCC1;CCNA2;MARCKS;BUB3"
"HALLMARK_MYC_TARGETS_V1",0.396596858638743,0.472139117427076,0.0692836467392548,0.226924796098221,1.02142231847886,200,"IFRD1;FAM120A;EPRS1;RPL18;RPL22;XPO1;SLC25A3;RPS3;HDGF;KPNB1;G3BP1;HNRNPA3;GSPT1;RPS6;PWP1;UBA2;RPS10;EIF1AX;DUT;PSMA4;RPL14;NPM1;FBL;RPLP0;SSB;MCM7;STARD7;RPS2;RPL34;MCM5;KPNA2;SRSF7;HDAC2;DEK;USP1;DDX18;HNRNPU;MRPL23;UBE2E1;XPOT;YWHAE;SRSF1;EIF3B;HNRNPC;PABPC1;PRDX4;HNRNPR"
"HALLMARK_FATTY_ACID_METABOLISM",0.513227513227513,0.596776178171527,0.0573667426768556,0.223837654796207,0.980159743149976,156,"XIST;GLUL;CYP1A1;PPARA;ACADVL;PRDX6;ENO3;ADIPOR2;CEL;AOC3;ELOVL5;S100A10;HSDL2;ALDH9A1;CYP4A11;HADHB;HIBCH;SUCLG1;ACAA1;NCAPH2;MGLL;BMPR1B;TP53INP2;CA6;HSD17B7;HSD17B4;HADH;SUCLG2;ALDH3A1;CPT1A;CD1D;KMT5A;ACSS1;ALDOA;ALAD;ECI2"
"HALLMARK_PEROXISOME",0.589459084604716,0.669839868868995,0.0531298054705469,0.226599324863212,0.933686897554923,104,"CADM1;CAT;CEL;ELOVL5;ABCB1;ALB;HSD11B2;CTBP1;ABCC8;ALDH9A1;ACAA1;ATXN1;ERCC1;SULT2B1;ABCD3;HSD17B4;BCL10;PEX13;DLG4;TSPO;NUDT19;CLN8;DHRS3;SCP2;PABPC1;ECI2;ABCC5"
"HALLMARK_KRAS_SIGNALING_DN",0.839005235602094,0.911962212610972,0.0341946045318573,0.188989451440455,0.85066967990049,200,"FGFR3;EFHD1;SELENOP;SLC25A23;CPB1;SNN;MYH7;LFNG;SPTBN2;SOX10;KMT2D;SGK1;HSD11B2;SPHK2;ZBTB16;MTHFR;NGB;PDE6B;PROP1;KCNQ2;CLPS;PRODH;GPRC5C;TGFB2;PTPRJ;BMPR1B"
"HALLMARK_PANCREAS_BETA_CELLS",0.870109546165884,0.925648453367962,0.0408229003677776,0.218030045964617,0.751588508350928,40,"NKX2-2;FOXO1;ABCC8;SRP14;PAX6;SEC11A;VDR;AKT3;HNF1A;SRP9;LMO2;NEUROD1;PAK3"
"HALLMARK_DNA_REPAIR",0.989333333333333,0.989333333333333,0.0269562963008323,0.156476356501307,0.681518808885761,150,"POLH;SMAD5;DGCR8;NME4;TAF1C;ERCC5;AK3;NME3;DUT;VPS37D;SNAPC4;SAC3D1;ERCC1;PNP;VPS28;TK2;RALA;TAF10;SRSF6;POLR2H;GTF3C5;GTF2H3;GUK1;AK1;TAF13;POLR2J;POLR1C;BCAM;POLR2I;NELFCD;POLR2C;POLR2D;HCLS1;ADA"
"HALLMARK_BILE_ACID_METABOLISM",0.987586206896552,0.989333333333333,0.0287861460642093,0.151666033314206,0.63017665478296,111,"CAT;CYP46A1;BCAR3;FDXR;ABCA1;ALDH9A1;ALDH8A1;PAOX;ATXN1;SULT2B1;ABCA9;ABCD3;HSD17B4;PEX13;ABCA8;CH25H;BBOX1;SCP2;ABCG8;BMP6"
"HALLMARK_E2F_TARGETS",0.943231441048035,0.982532751091703,0.0870515867946735,-0.16020660562728,-0.818724729466673,199,"UBE2T;NME1;CDKN3;MSH2;CENPE;HMMR;POLA2;TBRG4;MAD2L1;RAD51C;CHEK2;CDK1;UBE2S;RAD51AP1;KIF2C;RPA3"
"HALLMARK_MYC_TARGETS_V2",0.710843373493976,0.789825970548862,0.0822054920415869,-0.212532876083244,-0.88532962837277,58,"EXOSC5;SORD;TBRG4;PHB1;MRTO4;WDR74;RABEPK;NOP16"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.0154447736744753,0.0299199241269297,0.380730400722792,-0.250077148872391,-1.27800189795346,199,"ATP6AP1;NDUFA7;UQCRFS1;ATP5F1C;VDAC1;IDH3G;NDUFA1;SDHB;BAX;NDUFAB1;MDH1;MRPL15;DLAT;SUCLA2;CYC1;DLD;AIFM1;ALAS1;TIMM10;SLC25A4;MTX2;NDUFS4;HCCS;OPA1;POR;PRDX3;ACADSB;IMMT;NDUFB3;LRPPRC;NDUFS7;ATP5F1B;ATP6V1D;NDUFB5;ATP5MF;MRPL11;ATP6V1C1;UQCRC1;FDX1;ATP6V1E1;NDUFV1;NDUFC2;HTRA2;FXN;TIMM50;RETSAT;UQCRC2;NDUFB1;NDUFS3;NDUFS1;PDHB;CYB5A;NDUFV2;IDH3B;GOT2;OGDH;NDUFA9;MGST3;NDUFB6;MRPS22;FH;PDHX;ATP5F1A;UQCR10;LDHA;GRPEL1;SDHA;COX5A;NDUFA4;ISCU;COX10;COX17;PMPCA;NDUFA5;ATP5MG"
"HALLMARK_SPERMATOGENESIS",0.00181564658533054,0.00453911646332634,0.45505986738723,-0.317980751418911,-1.54416699520485,135,"ADCYAP1;TTK;CDKN3;NPY5R;CLVS1;IL13RA2;PHF7;PSMG1;PARP2;CDK1;CLGN;NAA11;LDHC;KIF2C;DCC;RPL39L;DDX25;NEK2;ODF1;DDX4;PACRG;TULP2;SNAP91;NPHP1;ZC2HC1C;TCP11;TUBA3C;IL12RB2;CCT6B;YBX2;DNAJB8;RFC4;PRM2"
